age,incomeBracket,healthRiskScore,sumInsured,coverageType,policyTier
61,HIGH,48,1350000,VEHICLE,STANDARD
30,LOW,88,850000,LIFE,BASIC
62,HIGH,87,2000000,LIFE,STANDARD
68,HIGH,100,200000,HEALTH,STANDARD
52,MID,47,300000,VEHICLE,STANDARD
59,MID,53,1650000,LIFE,STANDARD
45,HIGH,81,1550000,VEHICLE,PREMIUM
27,MID,93,1750000,VEHICLE,STANDARD
35,MID,68,1600000,HEALTH,STANDARD
45,HIGH,75,950000,HEALTH,STANDARD
72,LOW,11,950000,HEALTH,BASIC
33,HIGH,72,2050000,VEHICLE,PREMIUM
42,MID,63,1100000,LIFE,STANDARD
49,LOW,33,1150000,HEALTH,STANDARD
74,MID,35,1850000,LIFE,STANDARD
51,HIGH,10,850000,VEHICLE,PREMIUM
44,MID,97,850000,VEHICLE,STANDARD
48,MID,62,1500000,LIFE,STANDARD
23,LOW,51,850000,HEALTH,BASIC
60,MID,60,1850000,VEHICLE,STANDARD
40,MID,95,1850000,HEALTH,STANDARD
40,MID,34,1050000,HEALTH,PREMIUM
32,LOW,24,1100000,LIFE,STANDARD
65,MID,97,650000,LIFE,BASIC
31,MID,35,1950000,VEHICLE,PREMIUM
56,LOW,12,700000,HEALTH,BASIC
32,MID,38,100000,VEHICLE,STANDARD
52,LOW,5,250000,VEHICLE,STANDARD
36,MID,16,1650000,LIFE,PREMIUM
73,LOW,36,1600000,HEALTH,STANDARD
46,MID,6,900000,HEALTH,STANDARD
25,HIGH,51,1650000,LIFE,PREMIUM
54,MID,6,550000,LIFE,STANDARD
69,MID,38,350000,LIFE,STANDARD
25,MID,53,2000000,VEHICLE,STANDARD
68,MID,99,1750000,HEALTH,STANDARD
46,HIGH,38,1950000,HEALTH,PREMIUM
37,MID,7,2050000,VEHICLE,PREMIUM
24,HIGH,26,750000,HEALTH,PREMIUM
60,LOW,30,650000,VEHICLE,BASIC
22,LOW,52,1500000,VEHICLE,STANDARD
56,MID,4,800000,HEALTH,STANDARD
63,LOW,58,300000,VEHICLE,BASIC
32,HIGH,100,1950000,VEHICLE,PREMIUM
69,HIGH,54,450000,VEHICLE,STANDARD
32,MID,34,550000,LIFE,STANDARD
21,LOW,39,2000000,VEHICLE,STANDARD
70,MID,36,1500000,LIFE,STANDARD
47,MID,89,1350000,HEALTH,STANDARD
50,MID,56,350000,VEHICLE,STANDARD
20,HIGH,94,1100000,VEHICLE,PREMIUM
34,LOW,29,1900000,VEHICLE,STANDARD
19,HIGH,86,950000,VEHICLE,STANDARD
20,HIGH,22,1600000,VEHICLE,PREMIUM
59,MID,35,650000,VEHICLE,STANDARD
45,MID,62,350000,HEALTH,STANDARD
40,MID,41,400000,LIFE,STANDARD
39,MID,63,1000000,VEHICLE,STANDARD
43,HIGH,70,200000,HEALTH,STANDARD
23,MID,41,450000,HEALTH,STANDARD
73,MID,0,1800000,HEALTH,STANDARD
44,LOW,66,1250000,VEHICLE,STANDARD
66,MID,56,250000,LIFE,BASIC
35,MID,36,1500000,VEHICLE,PREMIUM
49,LOW,80,2000000,LIFE,STANDARD
63,LOW,70,100000,VEHICLE,BASIC
44,LOW,14,1550000,LIFE,STANDARD
59,HIGH,63,1000000,VEHICLE,STANDARD
63,LOW,61,1600000,LIFE,BASIC
47,MID,49,700000,VEHICLE,STANDARD
50,MID,17,300000,HEALTH,STANDARD
67,HIGH,53,1150000,VEHICLE,STANDARD
35,HIGH,36,1050000,VEHICLE,PREMIUM
55,HIGH,62,550000,HEALTH,STANDARD
52,MID,42,1850000,VEHICLE,PREMIUM
42,MID,41,700000,VEHICLE,STANDARD
33,MID,29,1400000,LIFE,PREMIUM
38,MID,90,1300000,HEALTH,STANDARD
60,HIGH,83,550000,HEALTH,STANDARD
20,LOW,75,1150000,LIFE,STANDARD
73,HIGH,12,1750000,HEALTH,PREMIUM
18,MID,52,550000,LIFE,STANDARD
48,HIGH,33,1150000,VEHICLE,PREMIUM
62,MID,10,1150000,VEHICLE,STANDARD
72,MID,40,1650000,VEHICLE,STANDARD
20,MID,30,1000000,LIFE,PREMIUM
65,LOW,12,400000,HEALTH,BASIC
28,MID,3,200000,HEALTH,STANDARD
68,LOW,45,1250000,HEALTH,BASIC
27,LOW,52,1900000,VEHICLE,STANDARD
68,LOW,22,350000,VEHICLE,BASIC
73,MID,87,850000,HEALTH,BASIC
55,LOW,59,900000,HEALTH,BASIC
34,MID,59,1000000,VEHICLE,STANDARD
52,LOW,56,1200000,VEHICLE,STANDARD
37,MID,54,900000,HEALTH,STANDARD
72,MID,49,1600000,LIFE,STANDARD
33,MID,45,1900000,HEALTH,STANDARD
62,LOW,84,1350000,HEALTH,BASIC
18,MID,87,250000,VEHICLE,STANDARD
65,MID,36,800000,VEHICLE,STANDARD
69,MID,81,700000,VEHICLE,BASIC
34,MID,92,500000,VEHICLE,STANDARD
24,HIGH,82,200000,HEALTH,STANDARD
68,MID,74,1250000,VEHICLE,STANDARD
26,LOW,37,1100000,VEHICLE,STANDARD
44,LOW,16,1800000,HEALTH,STANDARD
51,MID,34,600000,HEALTH,STANDARD
70,HIGH,37,1150000,LIFE,PREMIUM
47,HIGH,18,800000,VEHICLE,PREMIUM
64,MID,50,1850000,HEALTH,STANDARD
23,HIGH,1,900000,VEHICLE,PREMIUM
25,MID,86,900000,VEHICLE,STANDARD
42,HIGH,47,400000,VEHICLE,STANDARD
32,MID,79,1850000,HEALTH,STANDARD
57,LOW,8,1550000,VEHICLE,STANDARD
37,MID,14,500000,LIFE,STANDARD
20,MID,63,450000,LIFE,STANDARD
33,HIGH,17,1300000,HEALTH,PREMIUM
41,MID,95,1800000,HEALTH,STANDARD
55,MID,19,1400000,VEHICLE,STANDARD
24,HIGH,78,1400000,HEALTH,PREMIUM
20,MID,27,1500000,HEALTH,PREMIUM
33,HIGH,12,1250000,VEHICLE,PREMIUM
75,HIGH,45,250000,HEALTH,STANDARD
35,LOW,15,1550000,LIFE,STANDARD
60,LOW,81,2000000,LIFE,BASIC
21,HIGH,31,500000,VEHICLE,PREMIUM
31,LOW,97,1850000,LIFE,STANDARD
55,LOW,29,1150000,LIFE,STANDARD
68,HIGH,0,950000,LIFE,STANDARD
26,MID,22,450000,VEHICLE,STANDARD
73,LOW,1,1200000,LIFE,STANDARD
55,MID,22,900000,LIFE,STANDARD
26,MID,67,450000,VEHICLE,STANDARD
22,MID,99,1250000,VEHICLE,STANDARD
55,LOW,64,800000,VEHICLE,BASIC
20,MID,84,1750000,HEALTH,STANDARD
47,MID,3,250000,HEALTH,STANDARD
72,MID,87,400000,HEALTH,BASIC
63,HIGH,9,350000,HEALTH,STANDARD
56,LOW,16,950000,VEHICLE,BASIC
58,MID,91,1100000,HEALTH,STANDARD
56,MID,58,1700000,VEHICLE,STANDARD
45,LOW,89,450000,VEHICLE,BASIC
59,HIGH,70,750000,HEALTH,STANDARD
46,HIGH,52,1150000,HEALTH,PREMIUM
43,MID,12,1100000,HEALTH,PREMIUM
38,MID,47,550000,VEHICLE,STANDARD
48,LOW,10,350000,HEALTH,STANDARD
24,MID,47,500000,VEHICLE,STANDARD
21,MID,71,1850000,HEALTH,STANDARD
60,LOW,45,1450000,VEHICLE,BASIC
21,HIGH,76,1050000,HEALTH,PREMIUM
24,MID,27,550000,VEHICLE,STANDARD
48,LOW,13,1200000,VEHICLE,STANDARD
41,LOW,35,1900000,LIFE,STANDARD
69,MID,71,2050000,VEHICLE,STANDARD
61,MID,3,2000000,VEHICLE,STANDARD
71,MID,3,650000,HEALTH,STANDARD
62,HIGH,43,1200000,LIFE,PREMIUM
29,HIGH,72,1350000,LIFE,PREMIUM
27,MID,3,350000,VEHICLE,STANDARD
51,LOW,53,1550000,HEALTH,STANDARD
28,MID,92,1100000,VEHICLE,STANDARD
56,LOW,6,550000,LIFE,BASIC
66,MID,86,350000,HEALTH,BASIC
46,MID,62,2000000,HEALTH,STANDARD
44,LOW,96,1700000,LIFE,STANDARD
40,MID,36,1950000,HEALTH,PREMIUM
51,MID,5,800000,HEALTH,STANDARD
56,LOW,26,1050000,LIFE,STANDARD
67,LOW,32,1000000,HEALTH,STANDARD
25,LOW,95,1450000,LIFE,STANDARD
26,MID,90,800000,VEHICLE,STANDARD
53,HIGH,45,300000,HEALTH,STANDARD
73,MID,55,150000,HEALTH,BASIC
22,HIGH,73,1450000,VEHICLE,PREMIUM
43,MID,53,1000000,LIFE,STANDARD
43,LOW,41,600000,VEHICLE,STANDARD
47,HIGH,46,350000,HEALTH,STANDARD
72,LOW,55,1950000,HEALTH,BASIC
51,LOW,39,1150000,LIFE,STANDARD
39,HIGH,9,1700000,VEHICLE,PREMIUM
25,MID,24,1200000,HEALTH,PREMIUM
64,HIGH,82,550000,LIFE,STANDARD
24,LOW,25,650000,VEHICLE,STANDARD
27,HIGH,83,300000,LIFE,STANDARD
67,MID,59,1900000,VEHICLE,STANDARD
46,MID,72,2050000,HEALTH,STANDARD
73,HIGH,40,550000,HEALTH,STANDARD
22,MID,80,1050000,HEALTH,STANDARD
55,LOW,64,300000,HEALTH,BASIC
47,MID,7,1250000,HEALTH,PREMIUM
22,MID,11,2050000,VEHICLE,PREMIUM
50,MID,74,1850000,VEHICLE,STANDARD
75,LOW,73,700000,HEALTH,BASIC
56,MID,19,250000,HEALTH,STANDARD
24,HIGH,43,350000,VEHICLE,PREMIUM
59,LOW,31,1500000,HEALTH,STANDARD
51,MID,20,1250000,HEALTH,PREMIUM
36,MID,99,1150000,VEHICLE,STANDARD
56,LOW,80,1150000,LIFE,BASIC
39,LOW,86,1300000,HEALTH,STANDARD
34,MID,84,2000000,LIFE,STANDARD
39,LOW,84,550000,HEALTH,BASIC
37,HIGH,89,1350000,LIFE,PREMIUM
56,MID,10,1050000,VEHICLE,STANDARD
42,MID,42,500000,VEHICLE,STANDARD
62,HIGH,94,1750000,LIFE,STANDARD
59,MID,65,1250000,LIFE,STANDARD
41,MID,27,1150000,HEALTH,PREMIUM
30,LOW,17,550000,LIFE,STANDARD
36,HIGH,12,1700000,VEHICLE,PREMIUM
71,MID,67,200000,VEHICLE,BASIC
39,HIGH,79,500000,VEHICLE,STANDARD
42,LOW,23,2050000,LIFE,STANDARD
64,MID,52,1250000,VEHICLE,STANDARD
64,LOW,56,2050000,HEALTH,BASIC
66,MID,57,800000,VEHICLE,BASIC
33,MID,100,1600000,LIFE,STANDARD
41,MID,73,1500000,HEALTH,STANDARD
67,LOW,48,1700000,VEHICLE,BASIC
44,HIGH,25,2000000,LIFE,PREMIUM
73,LOW,82,1600000,HEALTH,BASIC
53,HIGH,91,1750000,LIFE,PREMIUM
36,LOW,20,950000,HEALTH,STANDARD
75,MID,55,350000,LIFE,BASIC
70,MID,44,150000,HEALTH,STANDARD
21,MID,47,850000,HEALTH,STANDARD
23,MID,3,1100000,LIFE,PREMIUM
71,MID,42,550000,LIFE,STANDARD
20,LOW,60,500000,VEHICLE,BASIC
48,MID,0,350000,LIFE,STANDARD
34,LOW,19,1850000,VEHICLE,STANDARD
56,MID,14,1000000,LIFE,STANDARD
37,LOW,30,1400000,VEHICLE,STANDARD
68,MID,8,450000,HEALTH,STANDARD
56,MID,80,1700000,VEHICLE,STANDARD
33,MID,37,1450000,LIFE,PREMIUM
57,MID,73,1400000,LIFE,STANDARD
60,MID,67,1250000,LIFE,STANDARD
51,MID,100,1700000,VEHICLE,STANDARD
19,MID,60,200000,VEHICLE,STANDARD
42,HIGH,32,150000,HEALTH,PREMIUM
68,LOW,30,400000,VEHICLE,BASIC
65,HIGH,17,200000,HEALTH,STANDARD
52,MID,82,650000,VEHICLE,STANDARD
47,HIGH,61,650000,LIFE,STANDARD
22,MID,58,200000,HEALTH,STANDARD
30,LOW,25,200000,HEALTH,STANDARD
37,MID,69,1600000,HEALTH,STANDARD
20,HIGH,24,1000000,HEALTH,PREMIUM
73,HIGH,83,1150000,HEALTH,STANDARD
25,HIGH,55,1350000,VEHICLE,PREMIUM
46,HIGH,49,1150000,LIFE,PREMIUM
49,MID,47,1750000,HEALTH,STANDARD
69,LOW,54,350000,HEALTH,BASIC
56,HIGH,23,1800000,HEALTH,PREMIUM
38,LOW,41,1000000,HEALTH,STANDARD
46,MID,54,600000,VEHICLE,STANDARD
46,MID,5,1200000,VEHICLE,PREMIUM
45,LOW,7,300000,VEHICLE,STANDARD
58,MID,65,600000,LIFE,BASIC
27,HIGH,86,1500000,LIFE,PREMIUM
26,LOW,99,1250000,HEALTH,STANDARD
42,HIGH,4,2000000,LIFE,PREMIUM
61,MID,47,1250000,HEALTH,STANDARD
66,LOW,17,1750000,HEALTH,STANDARD
43,MID,35,850000,LIFE,STANDARD
19,MID,63,1750000,HEALTH,STANDARD
53,LOW,99,900000,VEHICLE,BASIC
46,LOW,78,1000000,VEHICLE,STANDARD
49,LOW,17,300000,HEALTH,STANDARD
29,HIGH,56,350000,VEHICLE,STANDARD
72,HIGH,85,1200000,VEHICLE,STANDARD
22,MID,37,1050000,LIFE,PREMIUM
63,MID,89,650000,HEALTH,BASIC
50,LOW,25,500000,LIFE,STANDARD
68,MID,46,1850000,VEHICLE,STANDARD
41,MID,70,500000,VEHICLE,STANDARD
74,LOW,39,1350000,VEHICLE,STANDARD
64,MID,52,1400000,VEHICLE,STANDARD
22,LOW,40,300000,HEALTH,STANDARD
47,MID,44,500000,VEHICLE,STANDARD
58,MID,98,500000,HEALTH,BASIC
50,HIGH,7,450000,VEHICLE,PREMIUM
27,MID,20,1100000,VEHICLE,PREMIUM
32,MID,66,1000000,LIFE,STANDARD
34,LOW,70,950000,LIFE,BASIC
58,MID,68,350000,VEHICLE,BASIC
59,LOW,74,550000,LIFE,BASIC
60,MID,77,1150000,VEHICLE,STANDARD
20,HIGH,3,350000,LIFE,PREMIUM
59,HIGH,33,750000,VEHICLE,STANDARD
44,MID,3,1650000,VEHICLE,PREMIUM
52,LOW,38,1600000,LIFE,STANDARD
69,HIGH,51,1050000,HEALTH,STANDARD
22,MID,20,1500000,HEALTH,PREMIUM
48,MID,43,2000000,LIFE,PREMIUM
38,HIGH,40,1200000,HEALTH,PREMIUM
26,HIGH,65,1850000,LIFE,PREMIUM
38,LOW,15,950000,HEALTH,STANDARD
33,LOW,6,1000000,HEALTH,STANDARD
73,MID,31,600000,HEALTH,STANDARD
54,MID,24,600000,HEALTH,STANDARD
50,MID,39,1650000,LIFE,PREMIUM
23,HIGH,64,1550000,LIFE,PREMIUM
31,MID,6,250000,HEALTH,STANDARD
49,MID,83,1600000,HEALTH,STANDARD
52,LOW,13,1450000,LIFE,STANDARD
74,LOW,46,1350000,HEALTH,BASIC
20,MID,72,1850000,LIFE,STANDARD
41,MID,9,1300000,VEHICLE,PREMIUM
46,HIGH,35,2050000,VEHICLE,PREMIUM
57,LOW,12,1350000,HEALTH,STANDARD
68,HIGH,71,1250000,LIFE,STANDARD
30,MID,51,1700000,LIFE,STANDARD
20,LOW,91,1150000,HEALTH,STANDARD
51,MID,77,1700000,LIFE,STANDARD
38,HIGH,40,600000,HEALTH,PREMIUM
57,MID,38,1950000,HEALTH,STANDARD
50,HIGH,68,1650000,VEHICLE,PREMIUM
54,LOW,2,1250000,HEALTH,STANDARD
61,LOW,53,1950000,HEALTH,BASIC
68,HIGH,88,150000,VEHICLE,STANDARD
48,LOW,83,1950000,VEHICLE,STANDARD
32,MID,74,1600000,LIFE,STANDARD
51,MID,79,1300000,LIFE,STANDARD
70,MID,4,1900000,VEHICLE,STANDARD
25,LOW,56,1100000,HEALTH,STANDARD
27,MID,26,1400000,VEHICLE,PREMIUM
67,MID,60,250000,VEHICLE,BASIC
26,MID,71,1100000,VEHICLE,STANDARD
48,MID,40,650000,HEALTH,STANDARD
52,MID,45,900000,VEHICLE,STANDARD
48,LOW,31,950000,VEHICLE,STANDARD
37,LOW,38,1000000,VEHICLE,STANDARD
31,MID,62,1100000,HEALTH,STANDARD
40,MID,92,950000,HEALTH,STANDARD
25,MID,69,1300000,HEALTH,STANDARD
70,MID,98,550000,HEALTH,BASIC
20,LOW,91,350000,HEALTH,BASIC
46,MID,95,1600000,LIFE,STANDARD
30,HIGH,34,1850000,VEHICLE,PREMIUM
35,LOW,78,1950000,LIFE,STANDARD
33,LOW,67,800000,VEHICLE,BASIC
32,LOW,52,1150000,VEHICLE,STANDARD
48,LOW,98,500000,LIFE,BASIC
53,HIGH,20,1400000,VEHICLE,PREMIUM
74,HIGH,61,700000,HEALTH,STANDARD
38,LOW,7,350000,VEHICLE,STANDARD
54,LOW,94,200000,LIFE,BASIC
44,HIGH,22,200000,HEALTH,PREMIUM
68,MID,95,1000000,LIFE,STANDARD
18,LOW,77,400000,HEALTH,BASIC
36,MID,82,1800000,VEHICLE,STANDARD
49,HIGH,17,1700000,HEALTH,PREMIUM
35,LOW,14,1150000,LIFE,STANDARD
64,MID,32,650000,LIFE,STANDARD
65,MID,37,1900000,VEHICLE,STANDARD
66,LOW,78,1350000,HEALTH,BASIC
50,MID,51,400000,LIFE,STANDARD
26,MID,31,100000,HEALTH,STANDARD
42,LOW,96,950000,HEALTH,BASIC
37,MID,73,100000,HEALTH,STANDARD
59,MID,30,250000,VEHICLE,STANDARD
25,MID,20,1350000,VEHICLE,PREMIUM
50,HIGH,90,1050000,VEHICLE,PREMIUM
25,MID,37,1250000,VEHICLE,PREMIUM
32,LOW,17,1600000,LIFE,STANDARD
47,MID,77,1250000,HEALTH,STANDARD
62,MID,60,1800000,VEHICLE,STANDARD
70,LOW,31,2000000,LIFE,STANDARD
51,MID,90,1250000,LIFE,STANDARD
54,LOW,70,1700000,LIFE,STANDARD
54,MID,21,1100000,VEHICLE,PREMIUM
46,LOW,26,1950000,HEALTH,STANDARD
23,HIGH,57,250000,HEALTH,STANDARD
26,MID,58,1900000,LIFE,STANDARD
53,MID,39,150000,HEALTH,STANDARD
34,HIGH,95,750000,VEHICLE,STANDARD
22,LOW,44,300000,VEHICLE,STANDARD
21,HIGH,8,1600000,LIFE,PREMIUM
36,MID,98,500000,VEHICLE,STANDARD
64,MID,53,1250000,HEALTH,STANDARD
46,HIGH,48,1300000,LIFE,PREMIUM
61,HIGH,69,500000,VEHICLE,STANDARD
73,MID,22,1800000,HEALTH,STANDARD
51,LOW,28,100000,LIFE,STANDARD
37,MID,92,1800000,HEALTH,STANDARD
52,MID,29,850000,HEALTH,STANDARD
40,LOW,24,450000,LIFE,STANDARD
69,MID,78,150000,LIFE,BASIC
31,LOW,76,200000,HEALTH,BASIC
56,MID,6,850000,VEHICLE,STANDARD
20,MID,29,1800000,LIFE,PREMIUM
66,HIGH,7,500000,VEHICLE,STANDARD
36,LOW,93,1900000,HEALTH,STANDARD
54,MID,86,1100000,LIFE,STANDARD
37,HIGH,84,1750000,LIFE,PREMIUM
44,MID,7,1850000,VEHICLE,PREMIUM
74,MID,22,1450000,VEHICLE,STANDARD
49,LOW,44,1300000,VEHICLE,STANDARD
38,MID,52,550000,HEALTH,STANDARD
42,LOW,68,1600000,LIFE,STANDARD
72,LOW,90,550000,HEALTH,BASIC
21,MID,53,1850000,VEHICLE,STANDARD
26,MID,32,750000,HEALTH,STANDARD
59,LOW,57,1250000,LIFE,BASIC
52,MID,24,250000,HEALTH,STANDARD
42,MID,77,200000,LIFE,STANDARD
30,HIGH,75,1850000,LIFE,PREMIUM
48,LOW,42,1050000,LIFE,STANDARD
31,HIGH,94,450000,VEHICLE,STANDARD
66,MID,31,2000000,VEHICLE,STANDARD
31,MID,30,1850000,HEALTH,PREMIUM
67,LOW,59,1800000,VEHICLE,BASIC
40,MID,46,1700000,HEALTH,STANDARD
47,LOW,92,1600000,HEALTH,STANDARD
31,MID,52,200000,VEHICLE,STANDARD
73,LOW,18,150000,HEALTH,BASIC
53,HIGH,74,1400000,HEALTH,PREMIUM
27,LOW,29,1300000,VEHICLE,STANDARD
71,LOW,70,1150000,HEALTH,BASIC
66,HIGH,92,1650000,HEALTH,STANDARD
28,MID,45,600000,LIFE,STANDARD
64,MID,23,1800000,VEHICLE,STANDARD
21,MID,9,250000,LIFE,STANDARD
44,LOW,80,800000,LIFE,BASIC
63,LOW,27,1700000,HEALTH,STANDARD
41,LOW,81,2050000,HEALTH,STANDARD
60,MID,0,1800000,VEHICLE,STANDARD
44,LOW,67,950000,VEHICLE,BASIC
36,LOW,89,1450000,LIFE,STANDARD
24,HIGH,67,550000,LIFE,STANDARD
30,MID,32,1200000,HEALTH,PREMIUM
68,MID,47,1350000,HEALTH,STANDARD
54,LOW,89,800000,HEALTH,BASIC
61,HIGH,10,200000,LIFE,STANDARD
43,MID,70,1600000,LIFE,STANDARD
58,LOW,21,350000,HEALTH,BASIC
72,MID,100,1150000,VEHICLE,STANDARD
72,HIGH,67,200000,LIFE,STANDARD
